source,text
5,"Which side of a house will get the most sunlight?  Articles on the internet seem to have conflicting answers. Is this because it is dependent on location?


This question depends on context.  

I could say the north side but for all I know the north side of your house has no windows.  
It also depends on geographic location.  Where does the sun rise/set.  
Do you have any trees/objects near your house that would obstruct light?  

There are varying factors here to say the least.  
"
9,"Which side of a house will get the most sunlight?  Articles on the internet seem to have conflicting answers. Is this because it is dependent on location?


In general, it depends on your location. In the northern hemisphere, the south side gets the bulk of the sun, because the sun is in that half of the sky. 
But if you are on a hill, or have a hill to the east or west, it can significantly shorten your solar 'day'.
Additionally, if you are in an area that tends to get morning fog, east-facing will get less effective sun than west-facing, because by afternoon the sun will have burned off the fog.
Finally, elevation matters. Higher floors will get more sun because they ""see"" more of the sky.
So in general, the south-west of the house will get the most sun, with upper floors receiving more than lower floors.
"
11,"I've got a big, lovely rhubarb plant in my yard which I'd hoped to be able to harvest a few different times over the course of a summer. How should I harvest my rhubarb to encourage it to regrow quickly? Should I cut it off near the base, pull it up from the root, or something else? Should I harvest it all at once, or should I leave some of the stalks in place?


I usually just ""snap"" off the stalks - a sharp yank on a shaft straight down is usually enough to free it.  
I typically only harvest the stalks that are above a certain size.  Though some folks just take all at once.  Rhubarb is pretty hardy - it will likely suffer through much punishment.  
"
12,"Which side of a house will get the most sunlight?  Articles on the internet seem to have conflicting answers. Is this because it is dependent on location?


I believe that in the northern hemisphere, it's always the south-facing side, and north-facing in the southern hemisphere.
Wikipedia's article on Seasons has a few nice images showing this.
"
14,"When I try to grow ""upside-down"" tomatoes, they always curve back up towards the sun and eventually break, causing massive damage.  Could I be doing something wrong, or is there a way to avoid this?


Tomatoes are very phototropic: the stalks will always grow towards light, so instead of pointing downwards, they try to curve upwards.  Also, the stalks themselves aren't very strong, so as they grow, the weight of new growth pulls the stalks over, causing the twisting and breaking.
"
17,"I have been told that debris/pollution from the road will find its way into my plants, but I don't know how much to be concerned about this.
We have a nice porch which could be used as a vegetable garden, but it is near a side street. It is, however, elevated from the street by a good 10-15'. Should I be concerned about toxins in my food?
What about a planter that is much closer? My neighbors have a vegetable garden that is set back about 20' from a major road (45 mph), at ground level. Should they be concerned?


It sounds like you would be safe from runoff being elevated that much above the street, but depending on the traffic level, you could still be getting fumes and such from passing cars.  I would personally plant there, but if you're leery of it, I would get your soil tested beforehand.
"
18,"We have a flat (apartment) with no garden, but would love to grow root vegetables such as potatoes and carrots. Is it possible to grow these in a pot, container or grow-bag, or do they need too much depth for this?
If it is possible, what containers would be recommended? I assume deep pots - but would those get enough drainage?


Tips for the lazy gardener has some info on growing vegetables in burlap sacks.  
Urban Agriculture has another way of doing things using wading pools.
Both obviously require drainage. But if you get creative, you could get two wading pools and move your sacks between them when it becomes too wet.
"
19,"We have a flat (apartment) with no garden, but would love to grow root vegetables such as potatoes and carrots. Is it possible to grow these in a pot, container or grow-bag, or do they need too much depth for this?
If it is possible, what containers would be recommended? I assume deep pots - but would those get enough drainage?


Yes, you can grow these in a container.
Here is one technique for growing potatoes in a limited area; you just plant the new crop over the old once you've harvested it.
In general the concerns are:

enough soil depth (for potatoes, a foot, for home-grown carrots, you may be able to get away with 8""), and
decent drainage, to avoid root rot/fungus.
sufficient light and watering.

Containers even give you the advantage of containing a blight or fungus infestation if one erupts.
"
21,"I'm trying to repair some patches in my lawn with grass seeds, but I can't seem to get the seeds to germinate. Is there anything that can be done to encourage germination?
In addition, the weather has been really changeable of late, so it's wet and cold for a few days and then hot and dry for others. Is there anything I can do to give the grass some consistent warmth and moisture? 


Some tips that have worked for me:

Loosen up the soil before scattering the seeds so that the seeds aren't trying to penetrate firm soil.
Mix the seeds with some compost or sand so that they're not all lying exposed on top of the soil.
Press the compost/seed mixture lightly into the existing soil.
Water twice a day until the new grass is established.

As for maintaining consistent moisture, you can reduce or eliminate the water on wet days and water it only on the dry ones. I wouldn't worry too much about the temperature variation as long as you're keeping the soil moist.
"
23,"I've got what I think is a cedar tree in my backyard that is missing most of its bark on one side from the ground to about 4' up. (Thanks to my puppy who is a shredding machine.) The branches next to the bare area of the trunk are slowly turning brown and dying. Is there any way to revive the tree and minimize the damage? Should I prune off branches that appear to be mostly dead?
Also, on the topic of preventative action: Are there products that successfully keep animals (dogs in my case) away from trees and shrubs?


Depending on how its root structure is doing, you may be out of luck. It is late in the season to be pruning trees back. For now, protect the tree (tie a bit of carpet around it at the heights the dog can get to) and keep it well watered.
As for keeping the dog away, you might ask on the pet website, but for a dog you own, you will need to do on-the-spot training. Let him go for the tree, then explain that it is YOUR property and he is not allowed near it. Do this a few dozen times...
"
25,"Which side of a house will get the most sunlight?  Articles on the internet seem to have conflicting answers. Is this because it is dependent on location?


A good (and kind of fun) way to answer this is with Google Earth. If you look up your address, then click the Sun icon, it will allow you to see the sun light based on season and time of day.
"
27,"I bought a small rose bush on Mother's Day this year and planted it in my flower garden. The area probably has too much shade for a full sun plant, but I don't think that is the issue here.
Shortly after planting, its leaves began to develop black splotches and fall off. The leaves are mostly gone at this point. What happened, and is there anything I can do to help it recover?
EDIT: I noticed last night that all of the leaves had fallen off and some new ones were starting to show up. What can I do to prevent these leaves from developing the same mold? Is now the time to apply manure tea or should I wait?


This sounds like it could be Blackspot fungus which is brought on by overly damp or humid conditions.  You may be watering too often, especially since it is already in a shady situation.  Fertilizing twice a year with manure tea helps to resist fungus.
"
29,"I've got what I think is a cedar tree in my backyard that is missing most of its bark on one side from the ground to about 4' up. (Thanks to my puppy who is a shredding machine.) The branches next to the bare area of the trunk are slowly turning brown and dying. Is there any way to revive the tree and minimize the damage? Should I prune off branches that appear to be mostly dead?
Also, on the topic of preventative action: Are there products that successfully keep animals (dogs in my case) away from trees and shrubs?



Are there products that successfully keep animals (dogs in my case) away from trees and shrubs? 

Tree tubes can protect trees. They're mostly aimed at protecting young saplings from deer. 
Protective schemes to protect more mature trees from beavers can be more extreme. 
"
31,"I live in Arizona, and I can never tell if I am watering my plants too little or too much. Plants are very touchy here - and you have to be able to read the signs correctly. I can't.
What signs are there for each?


There are various ceramic tools you can use, but I've never tried them. 
There are signs, tomatoes for instance, will have more fuzz on the sides to collect any water available
But most gardening books just say stick your thumb into the dirt, if it feels dry then it is time to water, don't wait till the plant turns brown. 
That being said, make sure you don't water too much and have some system of making sure your water gets down to the roots (a little berm perhaps).  That'll prevent your plant from keeping its roots up near the top of the soil where it dries out quicker. 
"
34,"I'm trying to grow chili plants in my dorm room. So far I'm just starting, so I have just four small pots (until they grow larger and I have to give them a bigger home). I'm usually away for only a few days, but especially in summer my absence could be even a few weeks. The biggest problem so far is keeping the plants hydrated during the time that I'm absent from my university city.
One of the solutions that was suggested to me was Tropf Blumat system. Are there other ways of keeping them hydrated?


If you plant them in a small plant-pot, you could just take them with you when you move. It'd be a lot cheaper than an automated watering system and your chilli will appreciate the extra care.
"
39,"I have been told that debris/pollution from the road will find its way into my plants, but I don't know how much to be concerned about this.
We have a nice porch which could be used as a vegetable garden, but it is near a side street. It is, however, elevated from the street by a good 10-15'. Should I be concerned about toxins in my food?
What about a planter that is much closer? My neighbors have a vegetable garden that is set back about 20' from a major road (45 mph), at ground level. Should they be concerned?


The primary concern has historically been lead poisoning, but leaded gas started getting phased out in the US in 1973 and was finally banned in 1995. If your garden is in an older city neighborhood, then it is possible that you've got significant lead levels already. 

We have a nice porch which could be used as a vegetable garden, but it is near a side street. It is, however, elevated from the street by a good 10-15'. Should I be concerned about toxins in my food? 

The elevation makes me feel that it is safe enough for food production. Actual street-side would be something for flowers in my opinion. I've got neighbors who plant next to neighborhood roads with significant traffic (just on the other side of the sidewalk from the street), and they've been doing it for 20+ years. They've felt no concerns about pollution or toxins when I've asked them. 
"
41,"How does putting my plants in a greenhouse help them grow? Is it purely to shield them from cold weather, or are there other benefits?


Primarily, greenhouses trap heat and moisture. 
Most plants prefer things warm and damp, so it's an ideal environment for growing fruit and germinating seeds.
"
42,"I have a hill beside my house with an approximate 25% grade.  What steps can I take to get a new lawn planted on this hillside, without it being washed away with erosion?  Would I need to put some kind of straw-like covering over it and secure that to the ground with stakes, or should just planting the seeds, fertilizing and watering be enough?


It depends how much rain/water flow the slope gets. Most places straw is sufficient. However in places of increased water flow it may be necessary to also add plastic netting (tied down of course with stakes). A more expensive option is to spray a (biodegradable) foam grass-seed solution that hardens and replaces both the straw and the netting. 
"
44,"How does putting my plants in a greenhouse help them grow? Is it purely to shield them from cold weather, or are there other benefits?


There are several benefits of a greenhouse:

accumulation of heat from the sun
possibility to regulate temperature and humidity
Protection from wind and excessive rain
protection from unwelcome pollens
limited protection from pests especially birds.

Typically you put in a greenhouse plants that prefer a warmer climate than the local one.
"
45,"How does putting my plants in a greenhouse help them grow? Is it purely to shield them from cold weather, or are there other benefits?


Green houses can extend your growing season, and even allow you to grow throughout the year.  
"
47,"I'm trying to grow chili plants in my dorm room. So far I'm just starting, so I have just four small pots (until they grow larger and I have to give them a bigger home). I'm usually away for only a few days, but especially in summer my absence could be even a few weeks. The biggest problem so far is keeping the plants hydrated during the time that I'm absent from my university city.
One of the solutions that was suggested to me was Tropf Blumat system. Are there other ways of keeping them hydrated?


I have heard that an easy way to do an automatic watering system is to take a soda bottle and put a pin hole in the top. You can make the hole just small enough to have a drop of water come out at a time. 
Place the bottle cap down into your pot. This will provide a constant drip of water into your plant. Try it with a small bottle and test the hole to make sure only a very small drip is coming out. This would suffice for short trip.
"
49,"I have been growing a few varieties of chili pepper (incl. Scotch Bonnets) in my garden since April (Spring). Due to trees, other houses, etc., they only get about 6 hours of direct sunlight a day.
Is this amount of sunlight sufficient? Is there anything I can do to help them?


I've grown jalapeños on an east-facing, sky-obstructed apartment porch before. The problem is simply that the less sun you have, the smaller yield you're going to get. In my case, I only managed about 4 tiny peppers: enough for a batch of scrambled eggs. Generally with chili plants, the more sun the better!
So depending on your varieties and how many plants you grow, you might be able to get a large enough yield to be worth it, even if they aren't as big as peppers you might buy in store.
"
